price_cad,bedrooms,bathrooms,availability_date,transit_min_to_ubc,neighborhood,address_or_postal,address_text,source,source_listing_id,url,title
3600,4.0,2.0,,69,Fraserview,"Approx map: 49.209044, -123.059235","Approx map: 49.209044, -123.059235",craigslist_van,7926865173,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-house-upper-suite/7926865173.html,4 Bed 2 Bath House Upper Suite Fraserview Vancouver East
4495,4.0,,,82,Ladner,"4982 57 A street, Delta Central, BC V4K3G5","4982 57 A street, Delta Central, BC V4K3G5",craigslist_van,7924044694,https://vancouver.craigslist.org/van/apa/d/delta-central-bedroom-entire-home-for/7924044694.html,4 bedroom entire home for rent
5500,5.0,3.5,,35,city of vancouver,V6H 2L2,V6H 2L2,craigslist_van,7932641863,https://vancouver.craigslist.org/van/apa/d/vancouver-elegant-bed-35-bath-home/7932641863.html,Elegant 5 Bed 3.5 Bath Home — Heart of South Granville
6000,5.0,,,41,Oakridge,"1339 West 53rd Ave, Vancouver, BC V6P1K8","1339 West 53rd Ave, Vancouver, BC V6P1K8",craigslist_van,7925509096,https://vancouver.craigslist.org/van/apa/d/vancouver-special-offer-6000-month-for/7925509096.html,Special offer: $6000 /Month for 5 Bedroom  Luxury House  in Vancouver
2650,4.0,,,39,Vancouver,"28th ave, Vancouver, BC V6S1S8","28th ave, Vancouver, BC V6S1S8",craigslist_van,7930035584,https://vancouver.craigslist.org/van/apa/d/vancouver-close-to-ubc-spacious-single/7930035584.html,Close to UBC spacious single house 4Bdrm Basement
2999,4.0,,,55,East Vancouver,"6th Avenue, Vancouver, BC V5N5C7","6th Avenue, Vancouver, BC V5N5C7",craigslist_van,7933211220,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-east-vancouver/7933211220.html,4 Bedroom East Vancouver
2700,8.0,,,32,Shaughnessy,"Approx map: 49.257500, -123.138800","Approx map: 49.257500, -123.138800",craigslist_van,7931923778,https://vancouver.craigslist.org/van/apa/d/vancouver-master-suite-in-mansion-live/7931923778.html,Master Suite in Mansion - Live with Like-Minded People!
6200,5.0,6.0,,40,Vancouver,"1188 W 45th Ave, Vancouver, BC V6M2G7","1188 W 45th Ave, Vancouver, BC V6M2G7",craigslist_van,7932436284,https://vancouver.craigslist.org/van/apa/d/vancouver-magnificent-bed-bath-main/7932436284.html,Magnificent 5 BED 6 BATH Main House in South Granville Vancouver
6000,4.0,,,75,hastings sunrise,"Approx map: 49.280700, -123.039700","Approx map: 49.280700, -123.039700",craigslist_van,7926557314,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-house-for-rent/7926557314.html,Brand new house for rent Beside the PNE LONG OR SHORT TERM RENTAL
3300,4.0,,,72,"Vancouver, Hastings Sunrise","William Street, Vancouver, BC V5K2Y4","William Street, Vancouver, BC V5K2Y4",craigslist_van,7928323538,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-two-level-house-for/7928323538.html,4 BEDROOM TWO-LEVEL HOUSE FOR RENT
