listing_key,label,labeled_at,notes
craigslist_van:7929666902,room_or_partial,2026-05-14T03:41:28.107913+00:00,Example: 1000 CAD / 6br furnished room; title: A furnished room for rent in Vancouver
craigslist_van:7926291709,room_or_partial,2026-05-14T12:00:00+00:00,$985/4br Room in 4 bed house near Trout Lake
craigslist_van:7926896031,room_or_partial,2026-05-14T12:00:00+00:00,$1200/6br A Furnished Room for Rent in Vancouver
craigslist_van:7926911474,room_or_partial,2026-05-14T12:00:00+00:00,$1000/4br basement bedroom to UBC
craigslist_van:7933128698,room_or_partial,2026-05-14T12:00:00+00:00,$1000/4br Room for rent (export title; user also cited 250ft2 variant)
craigslist_van:7927725239,room_or_partial,2026-05-14T12:00:00+00:00,$1000/4br one bedroom in basement near UBC
craigslist_van:7933772240,whole_unit,2026-05-14T12:00:00+00:00,$2850/4br 3152ft2 4 Bed 4 Bath Available Now
craigslist_van:7933211220,whole_unit,2026-05-14T12:00:00+00:00,$2999/4br 1250ft2 4 Bedroom East Vancouver
craigslist_van:7932136418,whole_unit,2026-05-14T12:00:00+00:00,$3100/4br New Laneway 4 Bed 3.5 Bath E45 & Victoria Dr
craigslist_van:7933668906,whole_unit,2026-05-14T12:00:00+00:00,$3200/5br House EAST VAN 5bd+2bth+yard+parking
craigslist_van:7934172815,whole_unit,2026-05-14T05:03:33.510846+00:00,Body: full furnished 4BR/3BA house at 241 Renfrew; whole-home tenancy (export CSV description).
craigslist_van:7934059479,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: East Van Entire House For Rent.
craigslist_van:7932565625,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: Whole 4-Bedroom House with Backyard & Garage.
craigslist_van:7930400210,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: 5BED/5BA Whole house in South Granville.
craigslist_van:7932644110,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: Fully Furnished Arbutus Whole House.
craigslist_van:7932671497,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: Entire House 6 Bedrooms By Canada Line Station.
craigslist_van:7931101041,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: 4br & 2 bath single house close to UBC.
craigslist_van:7932391841,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: Custom-Built Luxury Home (7 Bed / 6 Bath) — whole property.
craigslist_van:7933487579,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: 4-bedroom 3-level townhouse on UBC campus — entire unit.
craigslist_van:7928453208,whole_unit,2026-05-14T05:03:33.510846+00:00,Title: 6 bedroom/2.5 bathroom house for rent.
craigslist_van:7929260796,room_or_partial,2026-05-14T05:03:33.510846+00:00,Title: Private Rooms for Rent (plural) — partial tenancy.
craigslist_van:7927399279,room_or_partial,2026-05-14T05:03:33.510846+00:00,Title: student housing; price point consistent with shared housing.
craigslist_van:7926826575,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: fully furnished 4BR/2BA character home (whole property tenancy).
craigslist_van:7930015480,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 5BR/3BA detached home ~2050 sqft; whole-house listing.
craigslist_van:7929517213,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: main 5BR house; states basement suite is separate tenancy not included.
craigslist_van:7928323538,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: two-level 4BR house rental (whole unit).
craigslist_van:7933917309,whole_unit,2026-05-14T05:17:42.412642+00:00,"Body: property type House, 5BR/3BA single-family listing."
craigslist_van:7932854567,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: single house 4BR+rec; one tenancy on Willow St.
craigslist_van:7933960538,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 4BR/2BA 2100sf 2-level character house at address; long-term unfurnished.
craigslist_van:7933972358,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: new 4BR/3.5BA laneway (entire laneway unit).
craigslist_van:7931841407,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: duplex upper level 4BR/3BA as one rental unit.
craigslist_van:7932725808,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: private 4BR Hamptons-style home (entire house).
